"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_account_template_0_120701","Activos por Impuestos Diferidos","120701","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2","PASIVOS","2","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21","CORRIENTE","21","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2101","Prestamos por Pagar a Corto Plazo","2101","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210101","Porcion Circulante de Prestamos por Pagar a Largo Plazo","210101","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210102","Prestamos de Corto Plazo","210102","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210103","Sobregiros Bancarios","210103","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2102","Cuentas y Documentos Por Pagar","2102","account.data_account_type_payable","l10n_chart_sv.account_chart_template_0","TRUE"
"account_account_template_0_210201","Cuentas por Pagar Comerciales","210201","account.data_account_type_payable","l10n_chart_sv.account_chart_template_0","TRUE"
"account_account_template_0_210202","Cuentas por Pagar No Comerciales","210202","account.data_account_type_payable","l10n_chart_sv.account_chart_template_0","TRUE"
"account_account_template_0_210203","Cuentas Por Pagar Accionistas","210203","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21020301","Prestamos Por Pagar","21020301","account.data_account_type_current_liabilities","l10nchart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21020302","Dividendos Por Pagar","21020302","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210204","Cuentas Por Pagar Relacionadas","210204","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2103","Impuestos Por Pagar","2103","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
